prodtypeid,product,abbrev,inv_type,customerid,lastmodify
NULL,"LIMITED PARTNERSHIPS","LP",1,1,2018/08/07 10:38:22
NULL,"MUTUAL FUNDS","MF",20,1,2018/08/07 10:38:22
NULL,"STOCKS","S",21,1,2018/08/07 10:38:22
NULL,"BONDS","B",22,1,2018/08/07 10:38:22
NULL,"OPTIONS","O",23,1,2018/08/07 10:38:22
NULL,"UNIT INVESTMENT TRUSTS","UIT",30,1,2018/08/07 10:38:22
NULL,"CERTIFICATES OF DEPOSIT","CD",28,1,2018/08/07 10:38:22
NULL,"VARIABLE ANNUITIES","VA",24,1,2018/08/07 10:38:22
NULL,"FIXED ANNUITIES","FA",25,1,2018/08/07 10:38:22
NULL,"LIFE INSURANCE","L",26,1,2018/08/07 10:38:22
NULL,"MISCELLANEOUS","MI",27,1,2018/08/07 10:38:22
NULL,"RIA","RIA",29,1,2018/08/07 10:38:22
NULL,"VARIABLE UNIVERSAL LIFE","VUL",31,1,2018/08/07 10:38:22
NULL,"MUTUAL FUND 12B1 TRAILS","MFT",40,1,2018/08/07 10:38:22
NULL,"VARIABLE ANNUITY 12B1 TRAILS","VAT",41,1,2018/08/07 10:38:22
NULL,"529 PLANS","529",32,1,2018/08/07 10:38:22
NULL,"REITs","RT",44,1,2018/08/07 10:38:22
NULL,"REIT 12B1 TRAILS","RTT",43,1,2018/08/07 10:38:22
